ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2020,aluno1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1067,Escola Pública,9,2,0.0,8.312502,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10.0,7.5,9.5,8.125,7.5,5.0,ALFA,D,,,,,,,,,,,,,,,,,
2020,aluno1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1070,Escola Pública,10,1,0.0,7.633334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10.0,7.5,9.5,5.0,5.66666,5.0,ALFA,E,,,,,,,,,,,,,,,,,
2020,aluno1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1072,Escola Pública,12,0,0.0,8.193334333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,8.3,7.5,7.333333333333333,8.749999999999998,7.833333333333334,10.0,Fase 3,C,,,,,,,,,,,,,,,,,
2020,aluno1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1075,Rede Decisão/União,14,4,0.0,8.796113333333334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.8,10.0,6.666666666666667,8.749999999999998,8.55556,10.0,Fase 4,A,,,,,,,,,,,,,,,,,
2020,aluno1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1077,Escola Pública,8,0,0.0,8.254168,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,10.0,7.5,7.5,6.875,6.83333,10.0,ALFA,C,,,,,,,,,,,,,,,,,
2020,aluno1078,Escola Pública,11,1,0.0,7.804168000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.41668,8.0,6.875,10.0,7.083333333333334,7.833333333333333,5.0,Fase 1,J,,,,,,,,,,,,,,,,,
2020,aluno1079,Escola Pública,10,1,0.0,6.602502,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.7,7.5,4.25,7.291666666666667,7.666666666666667,5.0,Fase 1,J,,,,,,,,,,,,,,,,,
2020,aluno1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1081,Escola Pública,16,3,0.0,5.2535425,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,6.7,3.125,4.0,6.09375,4.2916675,5.0,Fase 5,G,,,,,,,,,,,,,,,,,
2020,aluno1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1084,Escola Pública,8,1,0.0,8.308336,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,4.375,9.0,6.875,7.41667,10.0,ALFA,D,,,,,,,,,,,,,,,,,
2020,aluno1085,Escola Pública,14,1,0.0,6.205209666666667,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,5.5,7.5,3.3333333333333335,7.96875,7.375,5.0,Fase 3,M,,,,,,,,,,,,,,,,,
2020,aluno1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1087,Escola Pública,11,2,0.0,7.635279333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.6,7.5,6.0,7.708333333333334,7.222219999999999,10.0,Fase 2,L,,,,,,,,,,,,,,,,,
