nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded,cg,cf,ct
ALUNO-97,12.0,2,9.500020000000001,7.393752,Não,F,7.5,Ametista,8.4375,6,0,3,5,8,7.75,R,-1.0,0,0,310.0,35.0,1.0
ALUNO-97,13.0,2,8.0,6.317,Não,F,7.5,Ágata,7.5,5.8,0,2,5.0,5.8,6.0,R,-1.0,0,0,310.0,35.0,1.0
ALUNO-97,14.0,3,7.91667,7.501754052631579,Não,F,7.5,Ametista,7.5,7.0,0,3,10.0,8.467105263157894,5.58333,R,0.0,1,0,310.0,35.0,1.0
ALUNO-98,14.0,3,9.2,6.953,Não,F,7.5,Ametista,7.5,6.3,0,3,5.0,6.4,7.5,R,-1.0,0,0,363.0,42.0,2.0
ALUNO-98,15.0,3,7.91667,7.396527277777778,Não,F,7.5,Ametista,7.8125,7.055555555555556,0,3,5.0,8.520833333333332,7.2916625,R,-2.0,0,0,363.0,42.0,2.0
ALUNO-99,inf,7,8.75001,7.7833335,Não,M,7.5,Ametista,7.5,7.25,0,3,5.0,10.0,7.2916625,R,-1.0,0,0,207.0,3.0,2.0
ALUNO-100,12.0,1,9.000020000000001,6.908335000000001,Não,F,4.375,Ágata,6.875,7.5,0,2,5,6.5,7.916665,R,-2.0,0,0,720.0,132.0,10.0
ALUNO-100,13.0,1,8.5,3.117,Não,F,3.8,Quartzo,6.3,0.0,0,1,5.0,0.0,3.8,R,-2.0,0,0,720.0,132.0,10.0
ALUNO-100,14.0,2,9.000020000000001,6.042318760312152,Não,F,5.0,Ágata,6.25,1.666666666666666,0,2,5.0,8.475473801560758,7.444443333333333,R,-2.0,0,0,720.0,132.0,10.0
ALUNO-101,13.0,3,7.08333,7.477568777777778,Não,M,6.25,Ametista,7.65625,6.622222222222223,0,3,10.0,7.854166666666666,7.416665,R,0.0,1,0,324.0,36.0,1.0
ALUNO-102,9.0,1,8.000020000000001,7.966668666666667,Não,M,7.5,Ametista,7.5,7,0,3,10,8.5,7.833333333333333,R,0.0,1,0,325.0,84.0,5.0
ALUNO-102,10.0,1,6.3,6.704,Não,M,7.5,Ágata,7.9,4.8,0,2,5.0,7.5,7.8,R,-1.0,0,0,325.0,84.0,5.0
ALUNO-102,11.0,1,7.333340000000001,7.475860455026456,Não,M,7.5,Ametista,6.041666666666667,7.666666666666666,0,3,5.0,8.941798941798943,7.833333333333333,R,-1.0,0,0,325.0,84.0,5.0
ALUNO-103,8.0,0,9.000020000000001,8.597919000000001,Não,F,7.5,Topázio,7.8125,8.5,0,4,10,10,7.333335,B,0.0,1,0,454.0,116.0,4.0
ALUNO-103,9.0,1,9.5,8.076,Não,F,6.3,Ametista,7.9,6.2,0,3,10.0,8.8,8.6,B,0.0,1,0,454.0,116.0,4.0
ALUNO-103,10.0,1,9.50002,7.105690655172413,Não,F,5.625,Ametista,5.625,6.0,0,3,5.0,8.903448275862068,7.749995,B,-1.0,0,0,454.0,116.0,4.0
ALUNO-104,8.0,0,9.0,8.010,Não,M,7.5,Ametista,7.2,6.4,0,3,10.0,10.0,6.8,P,0.0,1,0,52.0,13.0,1.0
ALUNO-104,8.0,0,10.00002,8.357710510121457,Sim,M,7.5,Topázio,5.625,7.25,0,4,10.0,9.392712550607287,8.58333,P,0.0,1,1,52.0,13.0,1.0
ALUNO-107,11.0,0,7.91668,6.01131119047619,Não,F,7.5,Ágata,5.625,4.0,0,2,5.0,4.952380952380953,8.083335,B,-2.0,0,0,728.0,180.0,3.0
ALUNO-108,9.0,0,9.000020000000001,7.642290505279036,Não,F,7.5,Ametista,5.625,8.416666666666668,0,3,5.0,8.565610859728508,7.666665,P,-1.0,0,0,256.0,72.0,4.0
ALUNO-110,8.0,0,10.00002,7.426485448585232,Não,M,8.125,Ametista,5.625,5.5,0,3,10.0,6.590752242926156,8.166665,R,0.0,1,0,345.0,101.0,4.0
