ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2022,aluno993,,,,0.0,6.846516835004177,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.41666,6.281197786131997,5.625,8.88888888888889,7.5,7.2916675,5.0,Fase 5,F,,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,,Fase 6 ,2018,1.0,541.0,31.0,3.0,9.5,7.666666666666667,9.5,4,0.0
2020,aluno449,Escola Pública,9,1,0.0,8.745557333333332,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.2,7.5,10.0,7.5,7.277776666666666,10.0,Fase 1,N,,,,,,,,,,,,,,,,,
2020,aluno532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno437,Escola Pública,9,2,0.0,7.808335333333335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.5,7.5,5.5,7.916666666666668,7.333333333333333,10.0,Fase 1,C,,,,,,,,,,,,,,,,,
2020,aluno757,Escola Pública,13,3,0.0,6.240207333333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.41666,4.3,7.5,4.666666666666667,7.96875,6.791665,10.0,Fase 3,A,,,,,,,,,,,,,,,,,
2021,aluno716,Escola Pública,,,0.0,6.911,,Ametista,,,,8.5,6.3,7.5,4.5,7.5,7.1,10.0,Fase 2,G,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,Fase 2 ,,,,,,,,,,
2020,aluno923,Escola Pública,8,0,0.0,7.400002000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,5.0,9.0,2.5,4.75,10.0,ALFA,E,,,,,,,,,,,,,,,,,
2020,aluno1282,Rede Decisão/União,7,0,0.0,6.301668,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91668,8.8,2.5,8.5,2.5,2.75,10.0,ALFA,A,,,,,,,,,,,,,,,,,
2021,aluno527,Rede Decisão,,,0.0,7.62,,Ametista,,,,9.2,7.2,7.5,7.1,8.6,8.7,5.0,Fase 6,C,Veterano,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,-1.0,Fase 7 ,,,,,,,,,,
2022,aluno443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
